C_hat x_p r_p stab
0.5 -0.005704697986577181 0.0 2.0
0.5 0.0016778523489932886 0.0 2.0
0.5 -0.005704697986577181 0.0 2.0
0.5 0.0016778523489932886 0.0 2.0
0.5 0.30436241610738257 0.0 1.0
0.5 0.311744966442953 0.0 1.0
0.5 0.31912751677852347 0.0 1.0
0.5 0.311744966442953 0.0 1.0
0.5 0.31912751677852347 0.0 1.0
0.5 0.4963087248322148 0.0 2.0
0.5 0.5036912751677852 0.0 2.0
0.5 0.4963087248322148 0.0 2.0
0.5 0.5036912751677852 0.0 2.0
0.5061224489795918 -0.005704697986577181 0.0 2.0
0.5061224489795918 0.0016778523489932886 0.0 2.0
0.5061224489795918 -0.005704697986577181 0.0 2.0
0.5061224489795918 0.0016778523489932886 0.0 2.0
0.5061224489795918 0.30436241610738257 0.0 1.0
0.5061224489795918 0.311744966442953 0.0 1.0
0.5061224489795918 0.31912751677852347 0.0 1.0
0.5061224489795918 0.311744966442953 0.0 1.0
0.5061224489795918 0.31912751677852347 0.0 1.0
0.5061224489795918 0.5036912751677852 0.0 2.0
0.5061224489795918 0.5110738255033557 0.0 2.0
0.5061224489795918 0.5036912751677852 0.0 2.0
0.5061224489795918 0.5110738255033557 0.0 2.0
0.5122448979591837 -0.005704697986577181 0.0 2.0
0.5122448979591837 0.0016778523489932886 0.0 2.0
0.5122448979591837 -0.005704697986577181 0.0 2.0
0.5122448979591837 0.0016778523489932886 0.0 2.0
0.5122448979591837 0.30436241610738257 0.0 1.0
0.5122448979591837 0.311744966442953 0.0 1.0
0.5122448979591837 0.30436241610738257 0.0 1.0
0.5122448979591837 0.311744966442953 0.0 1.0
0.5122448979591837 0.31912751677852347 0.0 1.0
0.5122448979591837 0.311744966442953 0.0 1.0
0.5122448979591837 0.31912751677852347 0.0 1.0
0.5122448979591837 0.5110738255033557 0.0 2.0
0.5122448979591837 0.5184563758389261 0.0 2.0
0.5122448979591837 0.5110738255033557 0.0 2.0
0.5122448979591837 0.5184563758389261 0.0 2.0
0.5183673469387755 -0.005704697986577181 0.0 2.0
0.5183673469387755 0.0016778523489932886 0.0 2.0
0.5183673469387755 -0.005704697986577181 0.0 2.0
0.5183673469387755 0.0016778523489932886 0.0 2.0
0.5183673469387755 0.30436241610738257 0.0 1.0
0.5183673469387755 0.311744966442953 0.0 1.0
0.5183673469387755 0.30436241610738257 0.0 1.0
0.5183673469387755 0.311744966442953 0.0 1.0
0.5183673469387755 0.31912751677852347 0.0 1.0
0.5183673469387755 0.311744966442953 0.0 1.0
0.5183673469387755 0.31912751677852347 0.0 1.0
0.5183673469387755 0.5184563758389261 0.0 2.0
0.5183673469387755 0.5258389261744967 0.0 2.0
0.5183673469387755 0.5184563758389261 0.0 2.0
0.5183673469387755 0.5258389261744967 0.0 2.0
0.5244897959183673 -0.005704697986577181 0.0 2.0
0.5244897959183673 0.0016778523489932886 0.0 2.0
0.5244897959183673 -0.005704697986577181 0.0 2.0
0.5244897959183673 0.0016778523489932886 0.0 2.0
0.5244897959183673 0.30436241610738257 0.0 1.0
0.5244897959183673 0.311744966442953 0.0 1.0
0.5244897959183673 0.30436241610738257 0.0 1.0
0.5244897959183673 0.311744966442953 0.0 1.0
0.5244897959183673 0.31912751677852347 0.0 1.0
0.5244897959183673 0.311744966442953 0.0 1.0
0.5244897959183673 0.31912751677852347 0.0 1.0
0.5244897959183673 0.5258389261744967 0.0 2.0
